GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
app,hos.houns.weatherapp.domain.core,EitherKt,75,0,4,0,11,0,6,0,4,0
app,hos.houns.weatherapp.domain.core,Either.Right,0,10,0,0,0,1,0,2,0,2
app,hos.houns.weatherapp.domain.core,Either.Left,0,10,0,0,0,1,0,2,0,2
app,hos.houns.weatherapp.domain.core,Failure.NetworkError,0,11,0,0,0,1,0,2,0,2
app,hos.houns.weatherapp.domain.core,Failure.UnknownError,0,11,0,0,0,1,0,2,0,2
app,hos.houns.weatherapp.domain.core,EitherKt.c.new Function1() {...},8,0,0,0,1,0,1,0,1,0
app,hos.houns.weatherapp.domain.core,Failure.FineLocationPermissionNotGrantedError,0,11,0,0,0,1,0,2,0,2
app,hos.houns.weatherapp.domain.core,Either,42,0,2,0,8,0,6,0,5,0
app,hos.houns.weatherapp.domain.core,Failure.LocationIsDisabledError,0,11,0,0,0,1,0,2,0,2
app,hos.houns.weatherapp.localstore.database,FavoriteDao_Impl.new Callable() {...},112,0,10,0,27,0,8,0,3,0
app,hos.houns.weatherapp.localstore.database,FavoriteDao_Impl.new Callable() {...},104,0,10,0,26,0,8,0,3,0
app,hos.houns.weatherapp.localstore.database,FavoriteDao_Impl.new EntityInsertionAdapter() {...},60,0,8,0,15,0,7,0,3,0
app,hos.houns.weatherapp.localstore.database,FavoriteDao_Impl.new EntityDeletionOrUpdateAdapter() {...},22,0,2,0,6,0,4,0,3,0
app,hos.houns.weatherapp.localstore.database,AppDatabase_Impl.new RoomOpenHelper.Delegate() {...},214,0,14,0,35,0,15,0,8,0
app,hos.houns.weatherapp.localstore.database,Favorite,0,30,0,0,0,5,0,5,0,5
app,hos.houns.weatherapp.localstore.database,AppDatabase_Impl,116,0,6,0,30,0,9,0,6,0
app,hos.houns.weatherapp.localstore.database,AppDatabase,3,0,0,0,1,0,1,0,1,0
app,hos.houns.weatherapp.localstore.database,FavoriteDao_Impl,113,0,2,0,28,0,7,0,6,0
app,androidx.databinding,DataBinderMapperImpl,8,0,0,0,3,0,1,0,1,0
app,hos.houns.weatherapp.remotestore.retrofit,NoConnectionInterceptor,109,0,18,0,27,0,13,0,4,0
app,hos.houns.weatherapp.remotestore.retrofit,NoConnectionInterceptor.NoInternetException,9,0,0,0,2,0,2,0,2,0
app,hos.houns.weatherapp.remotestore.retrofit,NoConnectionInterceptor.NoConnectivityException,9,0,0,0,2,0,2,0,2,0
app,hos.houns.weatherapp.remotestore.retrofit,FailureFactory,64,0,14,0,12,0,10,0,3,0
app,hos.houns.weatherapp.remotestore.retrofit,ApiError,23,0,0,0,1,0,4,0,4,0
app,hos.houns.weatherapp.presentation.favorite,MapsActivity,66,0,4,0,12,0,5,0,3,0
app,hos.houns.weatherapp.presentation.favorite,MapsActivity.onCreate..inlined.getViewModel.new Function0() {...},6,0,0,0,1,0,1,0,1,0
